,FIPS,County,FIPSTATE,State,POP,ff_extract,rho_eff_min,rho_eff_max,rho_eff_avg,burden_min,burden_max,burden_avg,tonCO2e_eff_min,tonCO2e_eff_max,tonCO2e_eff_avg,tonCO2e_eff_min_log10,tonCO2e_eff_peremp_min,tonCO2e_eff_peremp_min_log10,burden_min_log10,burden_peremp_min,burden_peremp_min_log10,tonCO2e_eff_max_log10,tonCO2e_eff_peremp_max,tonCO2e_eff_peremp_max_log10,burden_max_log10,burden_peremp_max,burden_peremp_max_log10,tonCO2e_eff_avg_log10,tonCO2e_eff_peremp_avg,tonCO2e_eff_peremp_avg_log10,burden_avg_log10,burden_peremp_avg,burden_peremp_avg_log10,Emp,tonneCO2e_eff_peremp_avg,tonneCO2e_eff_peremp_avg_log10,ECF_std_dev
0,01003,baldwin,01,AL,218022.0,1,0.8851362234672785,0.9209997448022306,0.9030679841347545,14965735.393164605,15572109.82044037,15268922.606802488,71456.33114557328,74351.56420531416,72903.94767544372,4.854040714019562,0.9864379375068355,-0.005930233519943576,7.175098062261839,206.59847654970034,2.315127114722334,4.871290109624492,1.0264059526885012,0.011319162084985885,7.192347457866768,214.9693336845317,2.332376510327263,4.862751045564103,1.0064219450976684,0.0027800980245972994,7.18380839380638,210.783905117116,2.3238374462668743,72438.75,0.9130105903368447,-0.03952418489924054,-2.4910496916449474
1,01023,choctaw,01,AL,12841.0,1,0.8352147111594649,0.9089279648870798,0.8720713380232723,2339374.7779300283,2545840.1625377173,2442607.470233873,11169.724334543527,12155.526802985109,11662.625568764317,4.048042454989923,3.0785431914954944,0.48834525105615834,6.3690998032322,644.7666996293057,2.8094025992984357,4.08477378528316,3.350245105211909,0.5250765813493946,6.405831133525437,701.6716495659663,2.8461339295916717,4.066796332726935,3.2143941483537013,0.5070991287931701,6.387853680969212,673.2191745976361,2.8281564770354475,3628.25,2.916049191156008,0.4647948458693323,-1.5224350834517584
2,01025,clarke,01,AL,23920.0,1,0.8352147111594649,0.9089279648870798,0.8720713380232723,2339374.7779300283,2545840.1625377173,2442607.470233873,11169.724334543527,12155.526802985109,11662.625568764317,4.048042454989923,1.435604952707863,0.15703494794065687,6.3690998032322,300.6715221296868,2.4780922961829344,4.08477378528316,1.5623066387745144,0.1937662782338932,6.405831133525437,327.20778388763154,2.5148236264761703,4.066796332726935,1.4989557957411885,0.17578882567766868,6.387853680969212,313.9396530086592,2.496846173919946,7780.5,1.3598297638727312,0.1334845427538308,-2.1587624474093
3,01033,colbert,01,AL,54762.0,1,0.8328965902750989,0.9090398395536623,0.8709682149143805,2381170.548702139,2598856.7114041797,2490013.6300531593,11369.28502156065,12408.662915075376,11888.973968318012,4.0557331541376715,0.501357543835633,-0.29985244592345983,6.376790502379949,105.00377248763677,2.0212049023188174,4.0937249869871035,0.5471915559851557,-0.26186061307402764,6.414782335229381,114.6031975748194,2.0591967351682494,4.07514437613887,0.5242745499103943,-0.28044122392226106,6.3962017243811475,109.80348503122809,2.040616124320016,22677.0,0.4756138502780961,-0.32274550684609893,-3.0350155010879027
4,01043,cullman,01,AL,83442.0,1,0.4722461665302715,0.7932013205112058,0.6327237435207387,1763355.9447171935,2961794.8498292463,2362575.39727322,8419.428982472662,14141.569927216227,11280.499454844445,3.925282638035218,0.28627289513856147,-0.5432197698582879,6.246339986277496,59.956680257635654,1.7778375783839893,4.1504976253646975,0.48083405338964746,-0.31800478252880904,6.471554973606975,100.70535522446903,2.0030525657134683,4.052328328874351,0.38355347426410447,-0.4161740790191551,6.373385677116628,80.33101774105235,1.9048832692231221,29410.5,0.3479538434842393,-0.45847836194299296,-3.2957092648315762
5,01049,dekalb,01,AL,71385.0,1,0.021179610744750436,0.021179610744750436,0.021179610744750436,204302.84411001793,204302.84411001793,204302.84411001793,975.477068061463,975.477068061463,975.477068061463,2.9892170642672586,0.04487273040360936,-1.3480175038312319,5.310274412509536,9.3980952957285,0.9730398444110455,2.9892170642672586,0.04487273040360936,-1.3480175038312319,5.310274412509536,9.3980952957285,0.9730398444110455,2.9892170642672586,0.04487273040360936,-1.3480175038312319,5.310274412509536,9.3980952957285,0.9730398444110455,21738.75,0.04070785446937923,-1.3903217867550697,-5.08544373597816
6,01053,escambia,01,AL,36748.0,1,0.9293000821208808,0.9333776703625072,0.9313388762416941,47054358.48385706,47260823.86846475,47157591.17616091,224668.6670138979,225654.4694823395,225161.56824811874,5.3515425085926465,18.297356572444095,1.2623883515378191,7.672599856834924,3832.1782334404606,3.5834456997800963,5.353443939904885,18.37764181877956,1.264289782850057,7.674501288147162,3848.99308711919,3.5853471310923344,5.352494264855514,18.33749919561183,1.263340107800686,7.673551613097791,3840.585660279826,3.584397456042963,12278.75,16.635498706521357,1.221035824876848,-0.06996945179658752
7,01057,fayette,01,AL,16433.0,1,0.6592396957799178,0.8844451416482516,0.7718424187140848,4344695.562327895,5828903.973228674,5086799.767778286,20744.453691878134,27831.047495134262,24287.7505935062,4.316902002108987,5.71945235508082,0.7573544465285519,6.637959350351263,1197.8758098505364,3.078411794770829,4.444529552463955,7.673296800423011,0.8849819968835202,6.765586900706232,1607.0868412541147,3.2060393451257974,4.385387294547232,6.696374577751916,0.8258397389667972,6.706444642789509,1402.4813255523259,3.1468970872090747,3627.0,6.074848562405498,0.7835354560429594,-0.9102495572223065
8,01071,jackson,01,AL,51736.0,1,0.47224616653027146,0.793201320511206,0.6327237435207387,5290067.834151581,8885384.54948774,7087726.191819661,25258.286947417986,42424.709781648686,33841.498364533334,4.402403892754881,1.64052134884019,0.21498188642774219,6.723461240997158,343.5889867276057,2.5360392346700196,4.62761888008436,2.755477529415691,0.44019687375722116,6.948676228326637,577.1041827355399,2.7612542219994984,4.529449583594014,2.1979994391279405,0.34202757726687505,6.850506931836291,460.3465847315728,2.6630849255091524,15396.5,1.9939914617854488,0.2997232943430372,-1.8394778806704426
9,01073,jefferson,01,AL,659300.0,1,0.10261099839928986,0.1064031102627668,0.10450705433102833,133810943.68573175,143612774.03356555,138711858.85964864,638902.0553762064,685702.4842737693,662302.2698249879,5.805434285278968,1.743195462566591,0.241346086797139,8.126491633521246,365.092940164938,2.5624034350394163,5.836135722900456,1.8708868584760372,0.27204752441862634,8.157193071142734,391.8364856636769,2.593104872660904,5.82105624345211,1.8070411605213141,0.2569680449702796,8.142113591694386,378.4647129143074,2.578025393212557,366512.0,1.6393200930951801,0.21466376204644175,-2.002846503549897
10,01075,lamar,01,AL,13844.0,1,0.8352147111594649,0.9089279648870798,0.8720713380232723,2339374.7779300283,2545840.1625377173,2442607.470233873,11169.724334543527,12155.526802985109,11662.625568764317,4.048042454989923,3.206005836550955,0.5059643086542975,6.3690998032322,671.4623358008118,2.8270216568965747,4.08477378528316,3.4889571765169656,0.5426956389475338,6.405831133525437,730.723353196819,2.863752987189811,4.066796332726935,3.3474815065339603,0.5247181863913093,6.387853680969212,701.0928444988155,2.8457755346335865,3484.0,3.0367840062605587,0.4824139034674715,-1.4885952409493914
11,01097,mobile,01,AL,413757.0,1,0.4985540463966685,0.5005942867904478,0.4995741665935581,237888517.22334525,238862032.06203365,238375274.64268947,1135837.3120912365,1140485.5165971254,1138161.4143441808,6.055316131092618,6.497302530170802,0.8127330890410172,8.376373479334895,1360.7878948861894,3.1337904372832943,6.057089774398387,6.523891541268931,0.8145067323467857,8.378147122640664,1366.3566681226694,3.135564080589063,6.056203858181941,6.510597035719866,0.8136208161303394,8.377261206424217,1363.5722815044294,3.1346781643726165,174816.75,5.9063140186704155,0.7713165332065015,-0.933717692338567
12,01099,monroe,01,AL,21067.0,1,0.8352147111594649,0.9089279648870798,0.8720713380232723,2339374.7779300283,2545840.1625377173,2442607.470233873,11169.724334543527,12155.526802985109,11662.625568764317,4.048042454989923,1.8114290426991326,0.2580213265197254,6.3690998032322,379.38370613095935,2.5790786747620027,4.08477378528316,1.9712997045181608,0.2947526568129618,6.405831133525437,412.8668416846085,2.615810005055239,4.066796332726935,1.8913643736086465,0.27677520425673724,6.387853680969212,396.125273907784,2.5978325524990145,6166.25,1.7158168218628478,0.23447092133289937,-1.964804108436562
13,01117,shelby,01,AL,215707.0,1,1.2887460918030291,1.5855017648170928,1.437123928310061,8594038.747556157,10932471.501403335,9763255.124479748,41033.63199270125,52198.858480460585,46616.245236580915,4.6131399591940285,0.4437255589219954,-0.352885554878007,6.934197307436306,92.93339296250788,1.9681717933642702,4.7176610056639925,0.5644630155686045,-0.24836450840804264,7.03871835390627,118.22051307137137,2.0726928398342346,4.668537289804371,0.5040942872452998,-0.2974882242676638,6.989594638046649,105.57695301693965,2.0235691239746134,92475.25,0.4573066247463411,-0.33979250719150167,-3.0677566283367943
